pedestrianId	table	infected
1	B	1
2	T05	0
3	T07	0
4	T09	0
5	T10	0
6	T11	0
7	T13	0
8	T15	0
9	T16	0
10	T18	0
11	T06	0
12	T14	0
13	T11	0
14	T16	0
15	T18	0
16	T09	0
17	T10	0
18	T14	0
19	T11	0
20	T15	0
21	T18	0
22	B	0
23	T13	0
24	T14	0
25	T11	0
26	T15	0
27	T18	0
28	T13	0
29	T11	0
30	T13	0
31	T16	0
32	B	0
33	T13	0
34	T16	0
35	B	1
36	T11	0
37	T15	0
38	T16	0
39	T13	0
40	T15	0
41	T11	0
42	T05	0
43	T15	0
44	T18	0
45	T10	0
46	T13	0
47	T15	0
48	T13	0
49	T15	0
50	T07	0
51	T06	0
52	T07	0
53	T06	0
54	T09	0
55	T06	0
56	T09	0
57	T10	0
58	T09	0
59	T10	0
60	T09	0
61	T10	0
62	T09	0
63	T09	0
64	T09	0
65	T09	0
66	A	1
67	A	1
68	A	1
69	A	1
70	A	1
71	A	0
72	A	0
73	A	0
74	A	1
75	A	1
76	C	0
77	C	0
78	C	0
79	C	0
80	C	0
81	C	0
82	C	0
83	T12	0
84	T12	0
