id	inhabitants	type
00001	0	recreational
00002	0	recreational
00003	0	recreational
00004	0	recreational
00005	0	recreational
00006	0	recreational
00007	0	recreational
00008	0	recreational
00009	0	shopping_business
00010	0	shopping_business
00011	0	shopping_business
00012	0	shopping_business
00013	0	shopping_business
00014	0	shopping_business
00015	0	shopping_business
00016	0	shopping_business
00017	0	shopping_business
00018	0	shopping_business
00019	0	shopping_business
00020	0	shopping_business
00021	0	shopping_business
00022	0	shopping_business
00023	0	shopping_business
00024	0	shopping_business
00025	0	shopping_business
00026	0	shopping_business
00027	0	shopping_business
00028	0	shopping_business
00029	0	shopping_business
00030	0	shopping_business
00031	0	university
00032	0	university
00033	35	residential_3
00034	20	residential_3
00035	10	residential_3
00036	10	residential_3
00037	3	residential_3
00038	10	residential_3
00039	3	residential_3
00040	10	residential_3
00041	10	residential_3
00042	10	residential_3
00043	10	residential_3
00044	10	residential_3
00045	10	residential_3
00046	10	residential_3
00047	10	residential_3
00048	10	residential_3
00049	10	residential_3
00050	10	residential_3
00051	10	residential_3
00052	10	residential_3
00053	10	residential_3
00054	10	residential_3
00055	10	residential_3
00056	10	residential_3
00057	10	residential_3
00058	10	residential_3
00059	10	residential_3
00060	10	residential_3
00061	10	residential_3
00062	0	university
00063	0	university
00064	0	university
00065	0	university
00066	0	university
00067	0	university
00068	0	university
00069	0	university
00070	12	mixed
00072	8	mixed
00074	8	mixed
00075	5	mixed
00076	6	mixed
00077	7	mixed
00078	4	mixed
00079	0	shopping_business
00080	0	shopping_business
00081	0	shopping_business
00082	0	shopping_business
00083	37	residential_1
00084	25	residential_1
00085	28	residential_1
00086	7	residential_1
00087	7	residential_1
00088	10	residential_1
00089	10	residential_1
00090	10	residential_1
00091	10	residential_1
00092	10	residential_1
00093	10	residential_1
00094	10	residential_1
00095	10	residential_1
00096	10	residential_1
00097	10	residential_1
00098	10	residential_1
00099	10	residential_1
00100	8	residential_1
00101	8	residential_1
00102	31	residential_1
00103	16	residential_1
00104	0	recreational
00105	0	shopping_business
00106	0	shopping_business
00107	0	recreational
00108	0	recreational
00109	0	shopping_business
00110	0	recreational
00111	40	residential_2
00112	7	residential_2
00113	10	residential_2
00114	10	residential_2
00115	10	residential_2
00116	10	residential_2
00117	10	residential_2
00118	10	residential_2
00119	10	residential_2
00120	10	residential_2
00121	10	residential_2
00122	18	residential_2
00123	10	residential_2
00124	15	residential_2
00125	10	residential_2
