,id_n,ID_TAN
0,91621,1
1,91622,2
2,91623,3
3,91624,4
4,91625,5
5,91626,6
6,91627,7
7,91628,8
8,91629,9
9,916210,10
10,916211,11
11,916212,12
12,916213,13
13,916214,14
14,916215,15
15,916216,16
16,916217,17
17,916218,18
18,916219,19
19,916220,20
20,916221,21
21,916222,22
22,916223,23
23,916224,24
24,916225,25
25,916226,26
26,916227,27
27,916228,28
28,916229,29
29,916230,30
30,916231,31
31,916232,32
32,916233,33
33,916234,34
34,916235,35
35,916236,36
36,916237,37
37,916238,38
38,916239,39
39,916240,40
40,916241,41
41,916242,42
42,916243,43
43,916244,44
44,916245,45
45,916246,46
46,916247,47
47,916248,48
48,916249,49
49,916250,50
50,916251,51
51,916252,52
52,916253,53
53,916254,54
54,916255,55
55,916256,56
56,916257,57
57,916258,58
58,916259,59
59,916260,60
60,916261,61
61,916262,62
62,916263,63
63,916264,64
64,916265,65
65,916266,66
66,916267,67
67,916268,68
68,916269,69
69,916270,70
70,916272,72
71,916274,74
72,916275,75
73,916276,76
74,916277,77
75,916278,78
76,916279,79
77,916280,80
78,916281,81
79,916282,82
80,916283,83
81,916284,84
82,916285,85
83,916286,86
84,916287,87
85,916288,88
86,916289,89
87,916290,90
88,916291,91
89,916292,92
90,916293,93
91,916294,94
92,916295,95
93,916296,96
94,916297,97
95,916298,98
96,916299,99
97,9162100,100
98,9162101,101
99,9162102,102
100,9162103,103
101,9162104,104
102,9162105,105
103,9162106,106
104,9162107,107
105,9162108,108
106,9162109,109
107,9162110,110
108,9162111,111
109,9162112,112
110,9162113,113
111,9162114,114
112,9162115,115
113,9162116,116
114,9162117,117
115,9162118,118
116,9162119,119
117,9162120,120
118,9162121,121
119,9162122,122
120,9162123,123
121,9162124,124
122,9162125,125
