Time    S       E       I_NS    I_Sy    I_Sev   I_Crit  R       D      
 0.0000 9480.0000 506.0000  6.0000  3.0000  0.0000  5.0000  0.0000  0.0000
 0.0417 9412.0000 574.0000  6.0000  3.0000  0.0000  5.0000  0.0000  0.0000
 0.0833 9354.0000 632.0000  6.0000  3.0000  0.0000  5.0000  0.0000  0.0000
 0.1250 9294.0000 691.0000  7.0000  3.0000  0.0000  5.0000  0.0000  0.0000
 0.1667 9232.0000 753.0000  7.0000  3.0000  0.0000  5.0000  0.0000  0.0000
 0.2083 9168.0000 816.0000  8.0000  3.0000  0.0000  5.0000  0.0000  0.0000
 0.2500 9103.0000 879.0000 10.0000  3.0000  0.0000  5.0000  0.0000  0.0000
 0.2917 9039.0000 941.0000 12.0000  3.0000  0.0000  5.0000  0.0000  0.0000
 0.3333 8988.0000 991.0000 13.0000  3.0000  0.0000  5.0000  0.0000  0.0000
 0.3750 8958.0000 1016.0000 18.0000  3.0000  0.0000  5.0000  0.0000  0.0000
 0.4167 8947.0000 1021.0000 24.0000  3.0000  0.0000  5.0000  0.0000  0.0000
 0.4583 8934.0000 1025.0000 33.0000  3.0000  0.0000  5.0000  0.0000  0.0000
 0.5000 8921.0000 1035.0000 36.0000  3.0000  0.0000  5.0000  0.0000  0.0000
 0.5417 8910.0000 1040.0000 42.0000  3.0000  0.0000  5.0000  0.0000  0.0000
 0.5833 8873.0000 1064.0000 55.0000  3.0000  0.0000  5.0000  0.0000  0.0000
 0.6250 8846.0000 1083.0000 63.0000  3.0000  0.0000  5.0000  0.0000  0.0000
 0.6667 8819.0000 1098.0000 75.0000  3.0000  0.0000  5.0000  0.0000  0.0000
 0.7083 8784.0000 1125.0000 83.0000  3.0000  0.0000  5.0000  0.0000  0.0000
 0.7500 8755.0000 1144.0000 93.0000  3.0000  0.0000  5.0000  0.0000  0.0000
 0.7917 8742.0000 1144.0000 106.0000  3.0000  0.0000  5.0000  0.0000  0.0000
 0.8333 8702.0000 1175.0000 115.0000  3.0000  0.0000  5.0000  0.0000  0.0000
 0.8750 8655.0000 1207.0000 129.0000  4.0000  0.0000  5.0000  0.0000  0.0000
 0.9167 8613.0000 1238.0000 140.0000  4.0000  0.0000  5.0000  0.0000  0.0000
 0.9583 8538.0000 1299.0000 154.0000  4.0000  0.0000  5.0000  0.0000  0.0000
 1.0000 8445.0000 1382.0000 164.0000  4.0000  0.0000  5.0000  0.0000  0.0000
 1.0417 8344.0000 1474.0000 171.0000  6.0000  0.0000  5.0000  0.0000  0.0000
 1.0833 8229.0000 1576.0000 183.0000  7.0000  0.0000  5.0000  0.0000  0.0000
